DATE,CPI,PCE,AHW,CSI
1/1/2007,85.83223988,9538.7,20.59,96.9
2/1/2007,86.1651274,9566,20.68,91.3
3/1/2007,86.61319652,9611.7,20.73,88.4
4/1/2007,86.87309349,9643.6,20.78,87.1
5/1/2007,87.23213947,9685.8,20.84,88.3
6/1/2007,87.43423468,9706.8,20.95,85.3
7/1/2007,87.58991971,9751.1,20.95,90.4
8/1/2007,87.61692199,9798.9,21,83.4
9/1/2007,87.98820338,9845.1,21.04,83.4
10/1/2007,88.25949194,9882.7,21.06,80.9
11/1/2007,88.95311307,9955.9,21.12,76.1
12/1/2007,89.21090048,9972.8,21.17,75.5
1/1/2008,89.51847336,9996.4,21.2,78.4
2/1/2008,89.73491353,9981.7,21.26,70.8
3/1/2008,90.05598755,10035.3,21.36,69.5
4/1/2008,90.26441141,10070.3,21.38,62.6
5/1/2008,90.79855031,10132.3,21.47,59.8
6/1/2008,91.74995886,10187.1,21.51,56.4
7/1/2008,92.40518613,10185.1,21.6,61.2
8/1/2008,92.26764325,10175.7,21.7,63
9/1/2008,92.34654054,10116.4,21.72,70.3
10/1/2008,91.55250467,10034.1,21.76,57.6
11/1/2008,89.9315239,9885.2,21.87,55.3
12/1/2008,89.19107068,9801.5,21.94,60.1
1/1/2009,89.41679289,9847.2,21.96,61.2
2/1/2009,89.74250792,9824.5,21.99,56.3
3/1/2009,89.65390668,9773.2,22.06,57.3
4/1/2009,89.74419556,9772.5,22.09,65.1
5/1/2009,89.8762536,9791.6,22.11,68.7
6/1/2009,90.62219166,9852.4,22.14,70.8
7/1/2009,90.59518937,9886.3,22.18,66
8/1/2009,90.89854314,10004.1,22.23,65.7
9/1/2009,91.07405798,9927.8,22.26,73.5
10/1/2009,91.34745609,9976.7,22.3,70.6
11/1/2009,91.65334132,9985.7,22.35,67.4
12/1/2009,91.70101723,10052.6,22.36,72.5
1/1/2010,91.76050663,10056.1,22.41,74.4
2/1/2010,91.67317112,10093.4,22.45,73.6
3/1/2010,91.70354869,10156,22.46,73.6
4/1/2010,91.72464422,10182.3,22.49,72.2
5/1/2010,91.67696832,10210.8,22.53,73.6
6/1/2010,91.63857445,10231.3,22.53,76
7/1/2010,91.80987018,10268.1,22.59,67.8
8/1/2010,91.94403777,10307.1,22.62,68.9
9/1/2010,92.09255032,10327.1,22.67,68.2
10/1/2010,92.41320243,10386.4,22.74,67.7
11/1/2010,92.64736285,10433.6,22.73,71.6
12/1/2010,93.01948805,10471,22.76,74.5
1/1/2011,93.32115418,10514.3,22.86,74.2
2/1/2011,93.62113266,10540.6,22.87,77.5
